# q = 3
# Integers covered = [1, 2150418490766337)
# 2150418490766337 ~ 3^32.14
# every order is realizable with ordinary AV
# every order is realizable with squarefree AV
# total wall time = 29.24 seconds
#
# Each line has the following format:
# a:b:c:pol:r:mu_ord_lower:construction
# where:
# - a, b, c, r are integers
# - pol is a list of lists of integers, each list represents a monic Weil polynomial of degree 2n given by their n+1 leading coefficients,
# - mu_ord_lower is a real number
# - construction is a string in {'hat', 'logexp', 'exhaust', 'small'}
#
# For each (monic) Weil polynomial h(x) represented by pol we have h(1) = c.
# For construction is {logexp', 'exhaust', 'small'} we have mu_ord_lower = 0 and mu_ord_lower doesn't play a role.
#
# There are four cases, depending on the string construction:
# - 'hat'
# In this case, the row represents the output of Construction 9.5.
# Precisely, the list poly only represents one polynomial h(x) obtained via Construction 9.1,
# and the nth-coefficient of h is coprime to p.
# Let S_h be the set of integral polynomials obtained by integrally modifying
# the coefficients x^n, ..., x^(n + (r-1)) by at most floor(q/2) of h(x), and
# the lower coefficients accordingly to keep the q-symmetry.
# One can then realize every integer in [a, b) as f(1) with f in S_h.
# mu_ord_lower is a lower bound for mu_ord as defined in Section 9.
#
# - 'logexp'
# In this case, r=1, and poly  represents two Weil polynomials h0(x) and h1(x), such that
# (a) h0^[n] != h1^[n] mod p, and thus every number in [a, b) may be represented by an order of
# a squarefree ordinary abelian variety.
# (b) {h0, h1} < {g, g^+, g^-}, where g(x) = hat(h(x)) where h(x) is the polynomial
# produced by Construction 9.1 Steps 1-5, and g^+/- =  g(x) +/- (qx^{n-1} - (q+1)x^n + x^{n+1}).
# Furthermore, mu_ord_lower = 0 and mu_ord_lower doesn't play a role.
#
# - 'exhaust'
# As in 'logexp', but condition (b) is replaced with:
# (b') h0 and h1 have the same (n-1) leading coefficients as hat(h(x))
#
# - 'small'
# In this case the polynomials were generated from exhaustive search in low dimension.
# If the length of poly is 2, then condition (a) from 'logexp' holds and the polynomials were generated from exhaustive search in low dimension.
# If the length of poly is 1, ordinariness or squarefreeness might fail.
#
1:2:1:[[1]]:0:0:small
2:4:3:[[1, -1], [1, -4, 9]]:1:0:small
3:7:4:[[1, -3, 6], [1, -2, 2]]:1:0:logexp
5:13:8:[[1, -1, 2], [1, 0, -2]]:1:0:logexp
9:12:10:[[1, -3, 4, -4], [1, -3, 5, -8]]:1:0:logexp
11:16:13:[[1, -2, 0, 5], [1, -2, 1, 1]]:1:0:logexp
14:25:17:[[1, -1, -1, 3], [1, -1, 0, -1]]:1:0:logexp
18:31:25:[[1, 0, -1, 1], [1, 0, 0, -3]]:1:0:logexp
26:32:28:[[1, -3, 4, -4, 6], [1, -3, 4, -3, 2]]:1:0:logexp
29:37:33:[[1, -3, 5, -6, 9], [1, -3, 5, -5, 5]]:1:0:logexp
34:44:39:[[1, -2, 1, 1, -1], [1, -2, 1, 2, -5]]:1:0:logexp
40:55:46:[[1, -2, 3, -4, 6], [1, -2, 3, -3, 2]]:1:0:logexp
47:66:54:[[1, -1, 0, 0, 0], [1, -1, 0, 1, -4]]:1:0:logexp
55:56:55:[[1, -1, 0, 0, 1]]:0:0.0633833718789870:hat
56:79:66:[[1, -1, 2, -4, 8], [1, -1, 2, -3, 4]]:1:0:logexp
67:68:67:[[1, -1, 2, -2, 1]]:0:0.0191838569681030:hat
68:91:74:[[1, 0, -1, 0, 2], [1, 0, -1, 1, -2]]:1:0:logexp
75:88:81:[[1, 0, 0, 0, -1]]:2:0.529772132492345:hat
82:87:84:[[1, 0, 0, 1, -2]]:1:0.281766487206914:hat
85:90:87:[[1, 0, 1, -1, -1]]:1:0.130916311179000:hat
88:100:93:[[1, -3, 5, -6, 3, 3], [1, -3, 5, -6, 4, -1]]:1:0:logexp
94:110:102:[[1, -3, 6, -10, 13, -16], [1, -3, 6, -10, 14, -20]]:1:0:logexp
103:108:105:[[1, 1, 0, -1, -1]]:1:0.132391353940961:hat
106:123:113:[[1, -2, 1, 1, -2, 3], [1, -2, 1, 1, -1, -1]]:1:0:logexp
114:134:121:[[1, -2, 2, -2, 2, -3], [1, -2, 2, -2, 3, -7]]:1:0:logexp
122:123:122:[[1, -2, 2, -2, 2, -2]]:0:0.0457269702086456:hat
123:124:123:[[1, -2, 2, -2, 3, -5]]:0:0.0606130364549020:hat
124:125:124:[[1, -2, 2, -1, -1, 2]]:0:0.0331437864252866:hat
125:130:127:[[1, -2, 2, -1, 0, 1]]:1:0.0999555467623806:hat
128:133:130:[[1, -2, 2, 0, -2, 2]]:1:0.114482765044026:hat
131:136:133:[[1, -2, 3, -5, 8, -13]]:1:0.0976993745795590:hat
134:139:136:[[1, -2, 3, -4, 4, -4]]:1:0.152232316394140:hat
137:142:139:[[1, -2, 3, -3, 1, 1]]:1:0.171642660722341:hat
140:145:142:[[1, -2, 3, -3, 3, -4]]:1:0.124119372500730:hat
143:144:143:[[1, -2, 3, -3, 4, -7]]:0:0.0341239109792547:hat
144:149:146:[[1, -2, 3, -2, 0, 2]]:1:0.112014837974710:hat
147:152:149:[[1, -1, -1, 2, -1, -1]]:1:0.0916192799396580:hat
150:155:152:[[1, -1, -1, 2, 0, -2]]:1:0.170655376095748:hat
153:158:155:[[1, -1, -1, 3, -2, -1]]:1:0.172958258558412:hat
156:161:158:[[1, -1, 0, -1, 2, -2]]:1:0.148860662461725:hat
159:172:165:[[1, -1, 0, 0, 1, -1]]:2:0.256997462791709:hat
166:199:182:[[1, -1, 1, -1, 1, -2]]:3:0.371082884683938:hat
183:196:189:[[1, -1, 1, 0, 0, -1]]:2:0.320041096520936:hat
190:203:196:[[1, -1, 2, -3, 3, -4]]:2:0.253986401465015:hat
197:230:213:[[1, 0, -1, -1, 2, -1]]:3:0.374196236842193:hat
214:227:220:[[1, 0, -1, 0, 2, -4]]:2:0.361717787380437:hat
221:254:237:[[1, 0, 0, -1, 1, -1]]:3:0.479030268428451:hat
238:271:254:[[1, 0, 0, 1, 1, -4]]:3:0.445510579991407:hat
255:256:255:[[1, -3, 4, -3, 2, -3, 5]]:0:0.00807287766726237:hat
256:257:256:[[1, -3, 4, -3, 2, -2, 2]]:0:0.0166673520281117:hat
257:258:257:[[1, -3, 4, -3, 2, -1, -1]]:0:0.0252618263834797:hat
258:259:258:[[1, -3, 4, -3, 3, -7, 14]]:0:0.00577553404365436:hat
259:260:259:[[1, -3, 4, -2, -3, 8, -13]]:0:0.0172844075253881:hat
260:265:262:[[1, -3, 4, -2, -2, 4, -4]]:1:0.0384620656533120:hat
263:268:265:[[1, -3, 4, -2, -1, 1, 1]]:1:0.0455536329587022:hat
266:271:268:[[1, -3, 4, -2, 0, -1, 2]]:1:0.0381023284144764:hat
269:270:269:[[1, -3, 5, -7, 7, -3, -1]]:0:0.0160502965313228:hat
270:271:270:[[1, -3, 5, -7, 8, -8, 10]]:0:0.0100297769778946:hat
271:272:271:[[1, -3, 5, -7, 8, -7, 7]]:0:0.0187094361368395:hat
272:273:272:[[1, -3, 5, -7, 8, -6, 4]]:0:0.0273039105015688:hat
273:274:273:[[1, -3, 5, -7, 9, -10, 11]]:0:0.0114445316022739:hat
274:275:274:[[1, -3, 5, -7, 9, -9, 8]]:0:0.0200390059590490:hat
275:276:275:[[1, -3, 5, -7, 9, -10, 13]]:0:0.0324840723365569:hat
276:281:278:[[1, -3, 5, -7, 10, -12, 14]]:1:0.0489678501171698:hat
279:280:279:[[1, -3, 5, -6, 4, 3, -13]]:0:0.0325005711718029:hat
280:285:282:[[1, -3, 5, -6, 5, -1, -4]]:1:0.0590226683047766:hat
283:288:285:[[1, -3, 5, -6, 6, -5, 5]]:1:0.0774863402624689:hat
286:291:288:[[1, -3, 5, -6, 7, -8, 10]]:1:0.0824335978906781:hat
289:294:291:[[1, -3, 5, -5, 2, 2, -5]]:1:0.0920709959121583:hat
292:297:294:[[1, -3, 5, -5, 3, 0, -4]]:1:0.0653246565525573:hat
295:296:295:[[1, -3, 5, -5, 3, 1, -7]]:0:0.0247901189803237:hat
296:301:298:[[1, -3, 5, -5, 4, -3, 2]]:1:0.0570383927544128:hat
299:300:299:[[1, -3, 5, -5, 4, -2, -1]]:0:0.0263892849978629:hat
300:305:302:[[1, -3, 6, -10, 13, -13, 14]]:1:0.0749775048019424:hat
303:304:303:[[1, -3, 6, -10, 14, -18, 25]]:0:0.0273246789349384:hat
304:309:306:[[1, -3, 6, -10, 14, -16, 20]]:1:0.0869017813385469:hat
307:312:309:[[1, 1, 0, -1, -2, 1]]:1:0.121391412432017:hat
310:323:316:[[1, -3, 6, -9, 11, -10, 8]]:2:0.105020229523449:hat
317:322:319:[[1, -2, 1, -1, 4, -6, 7]]:1:0.0371324958534640:hat
320:325:322:[[1, -2, 1, 0, -1, 3, -4]]:1:0.0476735955143760:hat
323:328:325:[[1, -2, 1, 0, 0, 2, -7]]:1:0.0390791211603035:hat
326:331:328:[[1, -2, 1, 0, 1, -2, 2]]:1:0.0602567792981775:hat
329:334:331:[[1, -2, 1, 0, 2, -5, 7]]:1:0.0715103932715499:hat
332:345:338:[[1, -2, 1, 1, -2, 2, -2]]:2:0.101899581260291:hat
339:352:345:[[1, -2, 1, 1, 0, -3, 5]]:2:0.132829414096086:hat
346:359:352:[[1, -2, 1, 2, -3, 0, 2]]:2:0.129012574133409:hat
353:358:355:[[1, -2, 2, -3, 5, -6, 7]]:1:0.0966767608381791:hat
356:369:362:[[1, -2, 2, -2, 1, 1, -2]]:2:0.127065948827396:hat
363:376:369:[[1, -2, 2, -2, 3, -4, 5]]:2:0.158167651127511:hat
370:383:376:[[1, -2, 2, -1, -1, 4, -8]]:2:0.178632794953921:hat
377:410:393:[[1, -2, 2, 0, -2, 2, -1]]:3:0.236242799423644:hat
394:427:410:[[1, -2, 3, -4, 5, -6, 8]]:3:0.253441586023240:hat
411:444:427:[[1, -2, 3, -3, 3, -2, 1]]:3:0.240366322747703:hat
428:441:434:[[1, -2, 3, -2, -1, 7, -16]]:2:0.134076725843984:hat
435:448:441:[[1, -2, 3, -2, 1, 0, -1]]:2:0.176590710829852:hat
442:475:458:[[1, -1, -1, 2, 1, -4, 4]]:3:0.264577538498021:hat
459:492:475:[[1, -1, 0, -1, 2, -1, 1]]:3:0.268566247927181:hat
476:565:520:[[1, -1, 0, 2, -3, 3, -4]]:4:0.414774237226592:hat
521:610:565:[[1, -1, 1, 0, 0, -1, 1]]:4:0.411244039854259:hat
566:599:582:[[1, -1, 1, 1, -2, 2, -2]]:3:0.365800832091794:hat
583:616:599:[[1, -1, 2, -2, 1, -1, -1]]:3:0.384788246971575:hat
600:853:726:[[1, 0, 0, 0, 0, 0, -4]]:5:0.787701821941892:hat
727:732:729:[[1, -3, 4, -4, 4, -4, 4, -5]]:1:0.0342125578920634:hat
730:735:732:[[1, -3, 4, -4, 4, -3, 2, -4]]:1:0.0349801853815505:hat
733:738:735:[[1, -3, 4, -4, 4, -2, -2, 5]]:1:0.0472071119991091:hat
736:741:738:[[1, -3, 4, -4, 5, -7, 8, -10]]:1:0.0475633691628894:hat
739:752:745:[[1, -3, 4, -4, 6, -11, 16, -23]]:2:0.0593789254594025:hat
746:751:748:[[1, -3, 4, -3, 0, 3, -3, 2]]:1:0.0468508548507530:hat
749:762:755:[[1, -3, 4, -3, 1, -1, 5, -11]]:2:0.0586664111480165:hat
756:769:762:[[1, -3, 4, -3, 1, 2, -6, 10]]:2:0.0682146703398931:hat
763:776:769:[[1, -3, 4, -3, 2, -2, 1, 1]]:2:0.0841235974136709:hat
770:783:776:[[1, -3, 4, -2, -3, 7, -6, 4]]:2:0.0728399630778561:hat
777:790:783:[[1, -3, 4, -2, -2, 3, 3, -13]]:2:0.0789258698077907:hat
784:797:790:[[1, -3, 4, -2, -2, 5, -4, 2]]:2:0.105780561268286:hat
791:804:797:[[1, -3, 4, -2, -1, 2, -1, -1]]:2:0.106038862680240:hat
